#t10	rpm	t11	rpm	t12	rpm
0	4038.3	0	4077.3	0	4045.8
74.509	4041.6	73.564	4093.5	74.146	4062.3
140.384	4573.5	137.204	4734.6	138.272	4699.9
194.315	5590.3	188.426	5888.6	188.307	6031
242.452	6267	233.733	6662.6	232.112	6890.4
287.217	6744.6	275.723	7193.6	272.476	7484.5
329.628	7123.2	315.534	7588.6	310.628	7921
370.282	7430.9	353.795	7897.8	347.224	8259.3
409.614	7681.4	390.837	8160.1	382.568	8554.8
447.909	7895	426.855	8393.9	416.922	8803.7
485.287	8089.5	461.968	8609.1	450.42	9031.8
521.85	8267.8	496.353	8795.3	483.218	9224.6
557.804	8409	530.144	8951.3	515.42	9397.2
593.252	8527.3	563.42	9090.7	547.089	9556.9
628.191	8659.7	596.16	9240.9	578.213	9725
662.628	8787.1	628.504	9355.4	608.924	9856.4
696.695	8878	660.454	9476.4	639.238	9988.1
730.456	8958.9	692.029	9585.2	669.169	10116
763.938	9034.9	723.272	9688.1	698.751	10236
797.133	9113.3	754.278	9766	728.069	10330
830.072	9180.1	785.019	9847.5	757.143	10417
862.825	9237.7	815.518	9926.5	785.968	10508
895.365	9299.5	845.776	10005	814.527	10607
927.664	9368.2	875.816	10079	842.892	10674
959.821	9410.9	905.673	10141	871.073	10750
991.854	9444.1	935.33	10210	899.067	10823
1023.756	9486.7	964.818	10270	926.877	10896
1055.475	9542.6	994.173	10317	954.539	10954
1087.06	9580.4	1023.414	10357	982.077	11003
1118.558	9608.6	1052.529	10402	1009.476	11060
1149.905	9658	1081.486	10461	1036.737	11116
1181.103	9703.3	1110.339	10504	1063.922	11146
1212.235	9719.6	1139.114	10527	1090.999	11194
1243.268	9754.9	1167.782	10567	1117.971	11238
1274.194	9788.8	1196.353	10602	1144.836	11284
1305.029	9818.7	1224.885	10617	1171.64	11310
1335.8	9839.2	1253.366	10636	1198.365	11338
1366.509	9858.9	1281.743	10676	1225.009	11385
1397.146	9883	1310.015	10717	1251.509	11437
1427.719	9903.7	1338.226	10740	1277.934	11474
1458.264	9912	1366.418	10747	1304.338	11485
1488.779	9922.9	1394.52	10782	1330.705	11507
1519.245	9938.6	1422.546	10812	1356.964	11547
1549.649	9961.6	1450.56	10823	1383.207	11554
1580.05	9962.6	1478.536	10833	1409.438	11566
1610.441	9966.3	1506.451	10858	1435.6	11588
1640.786	9981.6	1534.31	10878	1461.715	11605
1671.104	9994.2	1562.172	10883	1487.804	11623
1701.377	9994.2	1590.03	10878	1513.865	11636
1731.706	9984.1	1617.827	10902	1539.879	11656
1761.995	10004	1645.591	10917	1565.846	11677
1792.238	10019	1673.355	10911	1591.793	11682
1822.471	10019	1701.106	10920	1617.731	11692
1852.69	10021	1728.813	10939	1643.625	11711
1882.899	10024	1756.478	10963	1669.483	11728
1913.109	10029	1784.111	10969	1695.328	11735
1943.313	10028	1811.74	10965	1721.146	11747
1973.507	10029	1839.339	10986	1746.916	11768
2003.681	10037	1866.897	11006	1772.668	11776
2033.861	10036	1894.462	10999	1798.405	11784
2064.032	10038	1922.027	10998	1824.135	11787
2094.228	10034	1949.552	11008	1849.847	11803
2124.402	10032	1977.061	11014	1875.508	11819
2154.56	10043	2004.556	11024	1901.152	11830
2184.721	10043	2032.06	11024	1926.786	11833
2214.883	10040	2059.558	11030	1952.384	11843
2245.046	10036	2087.011	11042	1977.953	11868
2275.177	10046	2114.469	11042	2003.507	11872
2305.326	10045	2141.951	11037	2029.063	11869
2335.499	10038	2169.403	11048	2054.59	11883
2365.66	10040	2196.82	11055	2080.086	11897
2395.808	10044	2224.246	11054	2105.564	11905
2425.964	10044	2251.695	11043	2130.999	11905
2456.145	10039	2279.128	11045	2156.495	11896
2486.305	10042	2306.53	11062	2181.909	11938
2516.438	10050	2333.963	11049	2207.326	11929
2546.596	10043	2361.393	11052	2232.747	11936
2576.768	10038	2388.812	11052	2258.151	11936
2606.928	10042	2416.218	11068	2283.525	11951
2637.079	10049	2443.639	11063	2308.915	11948
2667.227	10044	2471.054	11051	2334.287	11951
2697.385	10036	2498.456	11062	2359.681	11951
2727.544	10043	2525.852	11066	2385.026	11965
2757.679	10054	2553.206	11066	2410.383	11967
2787.824	10045	2580.655	11043	2435.743	11963
2818.005	10038	2608.053	11066	2461.098	11958
2848.152	10041	2635.414	11084	2486.426	11982
2878.279	10053	2662.795	11072	2511.71	11982
2908.424	10045	2690.194	11065	2537.066	11966
2938.585	10036	2717.561	11078	2562.38	11980
2968.733	10045	2744.888	11093	2587.647	12007
2998.865	10050	2772.245	11080	2612.944	11999
3029.024	10040	2799.615	11070	2638.215	12009
3059.2	10031	2826.991	11080	2663.477	12012
3089.358	10042	2854.333	11086	2688.732	12021
3119.508	10048	2881.691	11080	2714.018	12002
3149.668	10040	2909.066	11080	2739.288	12009
3179.857	10032	2936.386	11096	2764.504	12009
3210.021	10039	2963.677	11101	2789.758	12014
3240.165	10047	2991.005	11099	2815.014	12021
3270.314	10044	3018.326	11099	2840.262	12020
3300.439	10053	3045.623	11104	2865.512	12019
3330.535	10063	3072.932	11103	2890.732	12032
3360.575	10081	3100.261	11099	2915.962	12028
3390.665	10070	3127.58	11098	2941.218	12021
3420.751	10065	3154.906	11093	2966.437	12034
3450.825	10076	3182.213	11103	2991.631	12051
3480.874	10079	3209.539	11093	3016.855	12036
3510.94	10074	3236.874	11092	3042.058	12040
3541.03	10070	3264.186	11099	3067.268	12043
3571.09	10075	3291.45	11118	3092.433	12064
3601.155	10075	3318.741	11101	3117.623	12039
3631.223	10075	3346.049	11102	3142.809	12049
3661.312	10070	3373.314	11117	3167.967	12054
3691.367	10073	3400.572	11122	3193.116	12072
3721.425	10080	3427.871	11110	3218.281	12063
3751.479	10073	3455.184	11104	3243.392	12063
3781.568	10070	3482.478	11101	3268.583	12043
3811.641	10076	3509.747	11121	3293.692	12085
3841.692	10079	3537.009	11114	3318.835	12061
3871.764	10070	3564.276	11113	3343.977	12070
3901.862	10063	3591.51	11127	3369.11	12080
3931.935	10070	3618.732	11143	3394.205	12092
3962.025	10070	3645.969	11136	3419.329	12078
