#1k0	rpm	2k0	rpm	3k0	rpm	4k0	rpm	5k0	rpm	6k0	rpm
0	3960.6	0	4019.4	0	3996.5	0	4009.1	0	4069.1	0	4052.8
75.512	3987.6	74.813	4025.1	75.571	3984.7	75.224	4002.9	73.77	4081.9	74.816	4025.6
146.773	4226.4	144.802	4303.9	143.472	4435.7	142.706	4465.1	137.562	4723.2	138.026	4767.1
210.561	4724	205.294	4982.4	200.166	5317.7	197.597	5493.7	189.028	5861.1	187.966	6041.2
267.831	5264.3	259.064	5608.6	250.747	5963.8	246.228	6204.4	234.93	6576.2	232.587	6768.1
319.977	5782.5	308.33	6123.8	297.518	6452.4	291.366	6688.1	277.957	7018.6	274.669	7176.1
368.1	6268.9	354.249	6574.2	341.501	6866.8	334.018	7080.5	319.193	7328.1	315.277	7439.2
413.02	6720.1	397.393	6998.5	383.286	7231	374.872	7394.6	359.181	7558.8	354.908	7623.7
455.285	7143.1	438.32	7380.3	423.419	7527.4	414.338	7655.3	398.126	7759.1	393.729	7783.7
495.452	7520.8	477.576	7698.4	462.217	7784.7	452.779	7859.7	436.237	7933.4	431.879	7919.6
533.923	7854.7	515.47	7975.4	499.899	8020.3	490.35	8044.7	473.693	8073.1	469.418	8049
570.973	8158.1	552.204	8228.5	536.629	8229.8	527.159	8212	510.53	8205.8	506.424	8168.3
606.819	8434.1	587.972	8452.6	572.611	8402	563.334	8357.2	546.797	8332.4	542.973	8271.1
641.709	8667.3	622.965	8641.5	607.974	8551.1	598.935	8492.7	582.557	8455.7	579.078	8373.4
675.806	8870.6	657.305	8808	642.768	8691.6	634.051	8611.7	617.917	8551.4	614.775	8469.7
709.213	9055.7	691.077	8956.7	677	8836.1	668.695	8730.2	652.941	8634.4	650.122	8554.3
742.018	9225.6	724.32	9100.6	710.827	8938.1	702.942	8832.1	687.616	8721.2	685.146	8634.4
774.341	9361.6	757.196	9202.5	744.31	9034.9	736.839	8924.1	721.936	8814.6	719.853	8713.3
806.212	9494.7	789.72	9303.1	777.474	9122.4	770.444	9001.8	755.976	8889.8	754.254	8789.7
837.668	9620.7	821.911	9400.5	810.299	9216.9	803.757	9078.2	789.778	8945.6	788.405	8857.7
868.773	9731.8	853.761	9501.8	842.837	9299.7	836.858	9137.1	823.341	9012.9	822.364	8907.1
899.601	9816.2	885.322	9589.8	875.128	9367.7	869.775	9188	856.7	9065.8	856.107	8964.8
930.203	9896.3	916.661	9660.5	907.209	9433.5	902.485	9251.2	889.854	9129.1	889.603	9032.9
960.584	9972.1	947.794	9722.5	939.066	9499.8	934.963	9317.3	922.822	9177.9	922.917	9080.2
990.745	10040	978.715	9790.3	970.772	9544.7	967.26	9368.9	955.589	9233.9	956.108	9111.8
1020.774	10090	1009.487	9838.7	1002.335	9588.8	999.403	9414.9	988.187	9279.2	989.133	9160.8
1050.648	10139	1040.118	9880.7	1033.745	9635.5	1031.41	9454.2	1020.637	9325	1021.992	9207.5
1080.365	10190	1070.616	9928.4	1065.04	9671.7	1063.277	9495.9	1053.006	9345.4	1054.74	9236
1109.989	10222	1100.98	9976.8	1096.222	9708.2	1095.035	9528.8	1085.244	9386.5	1087.36	9270.8
1139.551	10244	1131.275	9998.1	1127.314	9735.7	1126.707	9555.3	1117.369	9417.1	1119.844	9319.4
1169.073	10259	1161.515	10014	1158.309	9763.2	1158.292	9585.2	1149.417	9439.5	1152.157	9365.3
1198.537	10284	1191.72	10027	1189.204	9802.6	1189.745	9622.2	1181.381	9467.8	1184.394	9387.6
1227.922	10309	1221.851	10050	1220.024	9826.8	1221.129	9638.5	1213.24	9498.9	1216.541	9418.5
1257.273	10315	1251.978	10053	1250.794	9839.2	1252.445	9664.7	1244.942	9547.7	1248.589	9442.5
1286.627	10319	1282.074	10063	1281.469	9866	1283.655	9698.1	1276.568	9569.5	1280.535	9474.4
1315.963	10324	1312.128	10072	1312.092	9892.2	1314.76	9732.1	1308.13	9588.9	1312.403	9496.1
1345.27	10335	1342.137	10088	1342.677	9895.7	1345.803	9751.1	1339.608	9617.9	1344.223	9510.5
1374.603	10328	1372.149	10096	1373.205	9918.6	1376.799	9766	1371	9640.8	1375.966	9534
1403.943	10323	1402.161	10096	1403.675	9943.2	1407.698	9795.1	1402.356	9652.3	1407.574	9575.8
1433.301	10323	1432.108	10112	1434.069	9968.9	1438.512	9824.5	1433.647	9673.7	1439.091	9602.8
1462.653	10315	1462.031	10125	1464.416	9978.3	1469.288	9836.3	1464.86	9697.8	1470.575	9613
1492.036	10308	1491.951	10120	1494.781	9978.7	1499.999	9858.1	1496.011	9717.8	1501.982	9636.8
1521.465	10292	1521.883	10117	1525.097	9989.1	1530.682	9867	1527.116	9731.4	1533.287	9668.8
1550.908	10289	1551.836	10116	1555.393	9998.6	1561.299	9888.7	1558.21	9735.9	1564.541	9681.1
1580.353	10286	1581.739	10126	1585.671	10003	1591.904	9892.9	1589.26	9748.6	1595.753	9698.6
1609.855	10262	1611.701	10103	1615.99	9993.3	1622.502	9896	1620.231	9774.9	1626.906	9717.8
1639.417	10244	1641.692	10099	1646.258	10007	1653.059	9908.6	1651.124	9799.6	1657.982	9741.8
1669.025	10228	1671.69	10098	1676.485	10024	1683.586	9918.6	1681.986	9808.4	1689.043	9746.6
1698.666	10213	1701.654	10106	1706.721	10011	1714.115	9918.7	1712.853	9812.4	1720.079	9753.5
1728.366	10199	1731.677	10086	1736.956	10019	1744.631	9927.8	1743.666	9824.5	1751.076	9766
1758.086	10189	1761.733	10072	1767.168	10027	1775.095	9938.6	1774.465	9829.4	1782.019	9788.8
1787.849	10175	1791.768	10083	1797.356	10033	1805.499	9955.3	1805.202	9846.3	1812.932	9797.6
1817.64	10167	1821.81	10077	1827.55	10032	1835.901	9961.6	1835.882	9867.6	1843.829	9802.3
1847.469	10157	1851.881	10067	1857.741	10026	1866.287	9966.1	1866.502	9887.6	1874.677	9813.4
1877.338	10135	1881.977	10064	1887.927	10035	1896.665	9965.2	1897.104	9893.7	1905.477	9828.8
