#1k0	rpm	2k0	rpm	3k0	rpm	4k0	rpm	5k0	rpm	6k0	rpm	7k0	rpm	8k0	rpm	9k0	rpm	10k0	rpm	11k0	rpm	12k0	rpm	13k0	rpm	14k0	rpm	15k0	rpm	16k0	rpm	20k0	rpm	25k0	rpm	30k0	rpm	35k0	rpm	40k0	rpm	45k0	rpm	50k0	rpm	55k0	rpm	60k0	rpm	65k0	rpm
0	3909.2	0	4033.4	0	3948.8	0	4019.1	0	4047.5	0	4089.9	0	4043.8	0	4029.5	0	4032.3	0	4082.8	0	4037.3	0	4032.3	0	4095.3	0	4061.2	0	4067.9	0	4077.7	0	4042.9	0	4108.2	0	4057.5	0	4043.2	0	4036.9	0	4078.5	0	3940.3	0	4003	0	4047.5	0	4048.6
76.913	3914.5	74.766	4027.3	75.875	3968.1	74.872	4020.5	74.497	4042.4	73.574	4092.7	74.356	4048.7	74.579	4037.3	74.609	4035.6	73.699	4084.8	74.293	4052	75.005	4014.3	73.411	4101.5	74.005	4068.9	73.846	4077.5	73.656	4087.9	74.503	4041.4	73.327	4106.2	74.12	4062.3	74.572	4037.8	74.543	4039.9	73.669	4087	77.01	3909.1	75.051	4011.9	74.386	4047.5	74.32	4051.3
151.989	4010.7	147.812	4121.5	150.027	4060.9	148.557	4085.6	147.667	4116	145.616	4180.7	147.25	4130.8	147.61	4123.9	147.464	4133.1	145.69	4182	147.216	4128.5	148.616	4091.3	145.513	4177.3	146.672	4144.6	146.236	4159.6	145.711	4179	147.64	4117	145.407	4177.8	146.778	4144.4	147.49	4129.7	147.74	4112.9	145.991	4163.7	152.442	3991.6	148.355	4106.9	147.136	4139.1	147.244	4129.3
221.786	4314.1	216.388	4391.1	219.093	4360.6	217.745	4353.9	216.149	4397	213.088	4464.3	215.475	4413.7	216.37	4379.4	215.745	4411	213.553	4439.3	215.849	4388.3	217.65	4361.9	213.286	4445.2	214.545	4436.7	214.11	4436.6	213.54	4440.3	216.109	4398.6	213.158	4444.7	215.084	4410.3	215.9	4401.9	216.303	4392.7	213.908	4434.8	222.567	4294.8	216.911	4393.5	215.564	4401.3	215.845	4390.6
285.075	4760.5	278.922	4818.2	281.802	4805.8	280.989	4763.9	278.959	4797.1	274.637	4896.8	278.04	4815.9	279.286	4789	277.997	4841.4	275.861	4836	278.476	4809.9	280.578	4788	275.854	4814.5	276.551	4860.5	276.405	4836.6	275.577	4858.1	278.848	4803.3	275.086	4864.5	277.592	4820	278.286	4828.8	279.16	4793.6	275.962	4856.9	285.803	4764.9	279.311	4828.9	278.172	4812.8	278.716	4792.6
342.096	5287.7	335.744	5306.3	338.572	5310.3	338.201	5269.1	335.765	5307.7	330.643	5383.2	334.524	5335.7	336.316	5285.9	334.422	5343.7	332.536	5319.2	335.008	5334.3	337.763	5269.9	332.782	5295.4	332.679	5371.3	332.965	5330	331.861	5356.5	335.709	5301.7	331.314	5362.7	334.378	5308.8	334.825	5332.2	335.914	5311.7	332.381	5343.6	342.717	5296.7	335.744	5342.1	335.097	5295.8	335.697	5290.6
394.044	5805.8	387.664	5808.8	390.444	5814.4	390.295	5790.4	387.735	5803.3	381.97	5876.9	386.1	5847.8	388.256	5804.8	386.052	5841.5	384.415	5811.7	386.575	5848.9	390.057	5768.3	384.654	5814.4	384.082	5867.4	384.609	5840	383.421	5851.5	387.527	5820.3	382.722	5869.1	386.189	5821.3	386.562	5829.8	387.596	5835.6	383.891	5855.4	394.545	5819.3	387.281	5852.5	386.972	5814	387.65	5805.2
441.946	6300.4	435.636	6289.8	438.264	6309.8	438.258	6292.4	435.692	6291.4	429.375	6364.3	433.725	6335.7	436.174	6298.3	433.715	6330.6	432.238	6309.6	434.239	6330.9	438.214	6263	432.567	6297.5	431.633	6347.2	432.354	6319.9	431.024	6339	435.357	6308.5	430.083	6371.5	433.975	6314.6	434.24	6327.6	435.353	6318	431.6	6324.8	442.33	6314.5	434.89	6337.9	434.743	6316.6	435.552	6300.5
486.422	6787.2	480.128	6784.8	482.688	6795.3	482.695	6790.6	480.192	6784.9	473.456	6848.8	477.992	6819.3	480.605	6793.8	477.942	6827.4	476.598	6805.3	478.508	6819.4	482.799	6770.6	477.066	6786.2	475.838	6829.4	476.682	6810.1	475.197	6834.5	479.727	6803.7	474.079	6864.4	478.29	6812.1	478.495	6821.6	479.747	6799.9	475.984	6799.8	486.685	6806.2	479.161	6818.8	479.011	6819.5	479.956	6798.7
528.034	7257.8	521.806	7245.9	524.319	7254.1	524.26	7265.8	521.837	7248.5	514.855	7296.6	519.516	7273	522.275	7248.2	519.418	7278.1	518.156	7267	520.028	7273.9	524.456	7249.1	518.776	7240.6	517.302	7283.8	518.286	7259.1	516.563	7301.2	521.341	7257.6	515.375	7313.9	519.802	7277	520.014	7274	521.356	7258.2	517.541	7267.2	528.302	7253.7	520.642	7280.8	520.504	7278.4	521.493	7270.6
