#1k5	rpm	#t2k5	rpm	#t3k0	rpm	t3k33	rpm	t3k5	rpm	t3k66	rpm	t4k0	rpm	t4k33	rpm	t4k5	rpm	t4k66	rpm	t5k0	rpm	t5k33	rpm	t5k5	rpm	t5k66	rpm	t6k0	rpm	t6k5	rpm
0	4036.4	0	4042	0	4074.6	0	4015.3	0	4070.9	0	4049.2	0	4093.3	0	4101.1	0	4070.7	0	4016.9	0	4027.5	0	4017.7	0	4109.7	0	4091.6	0	4038.2	0	4096.2
74.528	4040.5	74.507	4040.8	73.779	4081.8	74.677	4031.6	73.811	4079.9	74.524	4040	73.518	4095.5	73.359	4104.1	73.894	4074.8	74.869	4020.5	74.659	4032.5	75.015	4014.2	73.365	4103.8	73.596	4091.7	74.277	4052.8	73.368	4103.5
149.175	4033.1	147.945	4099.8	147.188	4101.5	148.955	4052.8	147.108	4108	148.257	4084.3	146.428	4130.5	145.745	4159	146.678	4136.9	148.624	4082.4	148.279	4090	148.97	4071.4	145.474	4174.9	146.292	4142.6	147.08	4136.4	145.421	4178.9
223.239	4065.1	218.864	4245.1	218.538	4220.2	221.072	4176	218.214	4234.8	219.455	4229.3	216.207	4315.6	215.199	4336.1	216.471	4314.1	219.2	4267.6	218.242	4304.3	219.273	4284.3	214.095	4388.8	214.987	4383.3	215.505	4401.2	213.079	4451.4
295.718	4154.2	286.92	4425.1	286.793	4412.4	289.269	4417.1	285.689	4463.5	287.069	4454.4	281.914	4584.2	280.588	4606.6	281.921	4602.3	284.906	4584.1	283.193	4638.8	284.126	4644.8	277.345	4762.8	278.516	4741.8	278.282	4798.1	275.221	4848.1
365.92	4288.7	352.084	4623.6	351.383	4664.1	353.495	4689.4	348.94	4762.8	350.637	4739.3	343.584	4885.6	341.693	4931.1	342.536	4970.2	345.429	4978.5	343.168	5024.3	343.569	5069.6	335.776	5156.5	336.725	5178.8	335.713	5248	331.478	5359.6
433.891	4430.7	414.011	4864.8	412.332	4943.6	414.035	4977.4	408.397	5068.3	409.91	5084.1	401.424	5210.7	398.802	5277.8	398.709	5366.4	401.546	5371.5	398.597	5437.2	398.205	5516.6	389.633	5596.8	390.403	5616.8	388.491	5713.1	382.851	5870
499.734	4574.6	472.548	5147.8	470.138	5213.5	470.912	5299.1	464.241	5397.9	465.4	5432.3	455.82	5543.5	452.175	5649.1	451.121	5753.2	453.879	5761.6	449.965	5871.1	448.678	5975.1	439.632	6030.7	440.264	6049.4	437.335	6175.8	430.41	6341.7
563.195	4746	528.264	5409.8	524.961	5500.1	524.559	5620.1	516.809	5737.4	517.642	5771.5	506.909	5904.6	502.283	6019	500.332	6131.3	502.873	6156.5	498.01	6277.1	495.766	6407.2	486.4	6451.3	486.854	6478.4	482.931	6619	474.601	6829.8
624.212	4939.2	581.397	5674.1	576.87	5808.9	575.386	5933.4	566.671	6048.6	567.063	6103	555.139	6254.3	549.708	6360.8	546.875	6484.5	548.988	6543.4	543.286	6665.4	540.17	6796.8	530.377	6863.2	530.652	6894.1	525.77	7049.3	515.988	7295.7
683.301	5099	632.241	5930.8	626.336	6097.4	623.776	6233.3	614.039	6370.8	614.071	6416.2	600.994	6580.1	594.723	6703.3	590.985	6840.2	592.737	6898.8	586.179	7037.5	582.161	7189.2	571.978	7257.5	571.993	7303.2	566.268	7456.2	555.269	7688.7
740.336	5285.8	681.128	6169.3	673.794	6358.6	669.995	6527.9	659.241	6675.2	658.943	6724.7	644.849	6882	637.614	7037.5	633.022	7179.8	634.338	7257.6	627.095	7382.5	622.101	7563.9	611.607	7618.9	611.397	7664.8	604.818	7835.5	592.81	8047.9
795.473	5466.1	728.309	6393.8	719.315	6628.7	714.289	6813.2	702.516	6974.3	702.018	7007.4	686.861	7186.2	678.532	7376.2	673.404	7478.1	674.183	7579.3	666.205	7722.4	660.421	7883.5	649.533	7965.2	649.152	8001.8	641.846	8159.5	628.92	8368.4
848.982	5634.5	773.99	6605	763.154	6884.8	756.938	7077.9	744.191	7243.9	743.56	7267.2	727.284	7470.4	717.859	7679.7	712.362	7753	712.499	7881.6	703.913	8011.9	697.388	8176.9	686.105	8258.4	685.535	8304.9	677.544	8465.2	663.81	8662.8
900.993	5798.1	818.242	6819.7	805.641	7107.8	798.123	7330.7	784.59	7474.3	783.71	7521.4	766.367	7727.4	755.849	7953.5	750.052	8015.2	749.584	8147.4	740.401	8280.7	733.172	8445.3	721.53	8531.6	720.824	8566.7	712.175	8728	697.744	8912.1
951.648	5952.3	861.177	7031.4	846.863	7327.2	838.072	7558.7	823.794	7703.6	822.605	7765.3	804.286	7964.3	792.707	8197.1	786.602	8266.9	785.65	8382.8	775.866	8522.2	767.959	8693.7	756.034	8758.9	755.145	8808.3	745.946	8949.7	730.848	9134.7
1001.049	6103.8	902.94	7227	886.909	7541.2	876.876	7781.7	861.944	7918.2	860.403	7992.3	841.154	8195	828.613	8416.4	822.223	8483.9	820.826	8592.6	810.485	8731.7	801.903	8906.5	789.715	8977.1	788.674	9018.1	778.954	9161.1	763.231	9339.4
1049.312	6250.2	943.61	7424.9	925.852	7756.1	914.749	7974.2	899.209	8107.7	897.269	8195.5	877.121	8402	863.742	8604.2	857.064	8675.2	855.212	8791.6	844.366	8923.7	835.181	9086.2	822.707	9165.4	821.477	9218.3	811.297	9351.2	794.946	9538.7
1096.478	6396.1	983.299	7609.1	963.863	7947.2	951.784	8155.7	935.705	8279.2	933.329	8380.6	912.295	8592.9	898.213	8769.1	891.234	8847.6	888.974	8955.3	877.611	9099.6	867.819	9264.6	855.106	9335	853.678	9393	843.103	9511	826.144	9697
1142.636	6536.1	1022.218	7763.6	1001.098	8114.3	988.096	8323.8	971.45	8454.4	968.624	8563	946.804	8759.7	932.076	8928.3	924.782	9013.4	922.182	9106	910.29	9253.6	899.902	9427.8	886.95	9499.1	885.396	9539.9	874.428	9660.5	856.912	9834.3
1187.803	6680.7	1060.357	7920.8	1037.654	8267.8	1023.712	8485.4	1006.587	8601.9	1003.3	8716.4	980.713	8916.2	965.399	9074	957.836	9148.3	954.889	9245.7	942.447	9406.1	931.571	9552.6	918.334	9633.9	916.638	9684.2	905.317	9791.6	887.285	9960.7
1232.082	6815.6	1097.871	8053.9	1073.531	8422.7	1058.748	8624.2	1041.135	8749.6	1037.462	8849.3	1014.137	9046	998.245	9207.2	990.443	9277.8	987.107	9388.4	974.193	9529.5	962.844	9674.7	949.37	9748.3	947.522	9802.2	935.811	9926.2	917.312	10080
1275.505	6948.9	1134.799	8181.9	1108.829	8562.4	1093.258	8754.8	1075.183	8879.9	1071.143	8977.2	1047.161	9153.9	1030.698	9323.9	1022.599	9406.4	1018.916	9510.2	1005.556	9646.2	993.748	9786.7	980.065	9858.9	978.078	9900.3	966.029	10019	947.078	10169
1318.197	7070.4	1171.177	8306.3	1143.639	8683.9	1127.288	8883.9	1108.763	9004.2	1104.355	9104.7	1079.789	9269	1062.731	9442.5	1054.346	9529.2	1050.423	9606.2	1036.603	9744.8	1024.316	9901.7	1010.459	9963.2	1008.334	10004	995.992	10102	976.598	10253
1360.177	7191.6	1207.071	8420	1178.012	8794.3	1160.836	9012.9	1141.946	9112.5	1137.185	9211.6	1112.009	9388.4	1094.384	9554	1085.778	9624	1081.625	9701.5	1067.358	9836.1	1054.646	9981.5	1040.622	10035	1038.324	10088	1025.727	10180	1005.925	10327
1401.414	7321.3	1242.511	8528.2	1211.986	8899.3	1194.023	9107.2	1174.827	9197.2	1169.675	9308.5	1143.911	9482.3	1125.739	9653.1	1116.945	9708.2	1112.533	9790.3	1097.872	9918.6	1084.747	10055	1070.588	10100	1068.079	10177	1055.233	10260	1035.048	10394
1442.088	7423.9	1277.571	8625.1	1245.626	8988.6	1226.926	9191.1	1207.386	9288.4	1201.85	9401	1175.587	9555.2	1156.832	9730.7	1147.868	9785.4	1143.209	9866.1	1128.22	9979	1114.646	10122	1100.367	10160	1097.696	10226	1084.586	10313	1064.085	10431
1482.181	7534.9	1312.264	8712.9	1278.944	9075.9	1259.523	9277.8	1239.621	9383.6	1233.749	9484.7	1206.963	9638.5	1187.699	9808.9	1178.566	9863.3	1173.703	9926.9	1158.345	10049	1144.33	10192	1129.944	10229	1127.184	10261	1113.832	10351	1093.024	10458
1521.692	7643.8	1346.569	8809.6	1311.953	9161.1	1291.846	9357.2	1271.577	9462.5	1265.356	9571.1	1238.104	9720	1218.303	9888.8	1209.081	9918.6	1204.036	9984.1	1188.294	10106	1173.877	10244	1159.388	10281	1156.506	10323	1142.954	10395	1121.854	10497
1560.71	7740.7	1380.575	8890.9	1344.658	9247.3	1323.916	9432.3	1303.297	9541.4	1296.748	9636.8	1269.042	9777.4	1248.749	9942	1239.452	9967.8	1234.193	10039	1218.124	10153	1203.339	10275	1188.724	10319	1185.733	10353	1171.955	10439	1150.632	10527
1599.37	7816	1414.316	8960.8	1377.105	9321.7	1355.751	9498.7	1334.828	9591.2	1327.914	9708.2	1299.769	9848.8	1279.084	9983.7	1269.662	10016	1264.234	10076	1247.831	10194	1232.692	10313	1217.95	10353	1214.869	10390	1200.906	10452	1179.36	10540
1637.658	7889.8	1447.815	9026.6	1409.32	9385.8	1387.366	9573.7	1366.158	9655.7	1358.868	9775.7	1330.323	9906.4	1309.248	10035	1299.733	10062	1294.166	10112	1277.399	10237	1261.988	10338	1247.071	10395	1243.974	10397	1229.801	10478	1208.108	10540
1675.536	7975.6	1481.055	9098.7	1441.326	9451.6	1418.758	9636.8	1397.31	9712.9	1389.654	9829.4	1360.709	9962.8	1339.292	10080	1329.712	10093	1323.994	10148	1306.864	10279	1291.179	10370	1276.134	10416	1273.005	10428	1258.672	10493	1236.806	10551
1713.019	8060	1514.134	9146	1473.137	9510.2	1450.004	9683.4	1428.34	9751.2	1420.316	9871.7	1390.988	9999.3	1369.226	10112	1359.579	10136	1353.696	10191	1336.253	10301	1320.337	10382	1305.166	10428	1301.972	10453	1287.463	10516	1265.473	10562
1750.254	8114.4	1547.067	9179.8	1504.806	9552.6	1481.117	9725.2	1459.262	9785	1450.848	9918.1	1421.154	10040	1399.082	10135	1389.359	10160	1383.357	10205	1365.606	10313	1349.459	10395	1334.138	10449	1330.913	10461	1316.281	10509	1294.221	10538
1787.221	8176.8	1579.776	9246.7	1536.359	9593.1	1512.1	9766	1490.066	9823.3	1481.236	9961.8	1451.207	10073	1428.843	10172	1419.019	10206	1412.958	10231	1394.902	10338	1378.536	10412	1363.099	10453	1359.869	10456	1345.115	10501	1323	10527
1823.893	8239.4	1612.285	9304.1	1567.765	9629.1	1542.931	9814.7	1520.748	9863.8	1511.519	9994.2	1481.142	10111	1458.502	10206	1448.642	10220	1442.479	10254	1424.12	10361	1407.634	10410	1392.069	10447	1388.812	10461	1373.962	10491	1351.772	10520
1860.244	8312.6	1644.656	9340.7	1599.03	9682.7	1573.691	9842.7	1551.347	9891.1	1541.728	10019	1511.031	10127	1488.102	10227	1478.209	10238	1471.936	10272	1453.335	10362	1436.731	10410	1421.039	10450	1417.774	10461	1402.783	10505	1380.574	10512
1896.365	8366.3	1676.905	9379.5	1630.168	9717.8	1604.358	9868.9	1581.872	9910.3	1571.877	10045	1540.875	10143	1517.685	10232	1507.711	10262	1501.331	10294	1482.534	10368	1465.82	10409	1450.016	10453	1446.744	10450	1431.682	10483	1409.441	10489
1932.277	8415	1709.017	9416.8	1661.215	9746.6	1634.931	9895.1	1612.324	9938.6	1601.916	10073	1570.67	10156	1547.239	10242	1537.158	10280	1530.717	10302	1511.704	10379	1494.881	10417	1478.976	10454	1475.746	10439	1460.608	10466	1438.354	10471
1968.002	8459.8	1741.007	9453.6	1692.173	9778.1	1665.413	9925.7	1642.666	9976.6	1631.897	10096	1600.389	10185	1576.743	10257	1566.602	10278	1560.105	10307	1540.859	10384	1523.986	10397	1507.978	10439	1504.778	10424	1489.561	10459	1467.337	10441
2003.504	8516.6	1772.892	9488.1	1723.055	9802.8	1695.845	9947.2	1672.967	9987.4	1661.827	10109	1630.105	10188	1606.235	10265	1596.049	10281	1589.443	10319	1570.046	10373	1553.139	10384	1537.028	10421	1533.814	10427	1518.531	10450	1496.36	10437
2038.801	8563	1804.683	9515.6	1753.877	9822.8	1726.231	9962.2	1703.248	9996.7	1691.734	10126	1659.79	10198	1635.731	10269	1625.475	10283	1618.816	10312	1599.266	10366	1582.343	10372	1566.142	10403	1562.924	10399	1547.589	10420	1525.453	10406
2073.908	8613.4	1836.353	9552.3	1784.637	9843.1	1756.555	9981.2	1733.475	10019	1721.586	10142	1689.433	10212	1665.176	10281	1654.878	10301	1648.22	10301	1628.477	10366	1611.558	10362	1595.265	10395	1592.114	10376	1576.747	10388	1554.655	10366
2108.831	8655	1867.887	9593.3	1815.328	9861.7	1786.828	10003	1763.656	10035	1751.446	10143	1719.047	10222	1694.634	10278	1684.319	10284	1677.654	10291	1657.661	10373	1640.839	10345	1624.438	10376	1621.314	10368	1605.916	10379	1583.932	10340
2143.547	8704.6	1899.331	9622.4	1845.934	9888.5	1817.068	10009	1793.8	10043	1781.308	10143	1748.663	10226	1724.112	10270	1713.766	10281	1707.07	10292	1686.907	10351	1670.182	10322	1653.675	10354	1650.546	10357	1635.147	10356	1613.242	10328
2178.119	8748.2	1930.714	9640.4	1876.502	9901.5	1847.277	10019	1823.918	10050	1811.129	10152	1778.29	10217	1753.634	10254	1743.236	10274	1736.525	10279	1716.22	10333	1699.541	10312	1682.947	10343	1679.871	10323	1664.486	10318	1642.658	10291
2212.501	8792.6	1962.001	9666.6	1907.064	9907.3	1877.433	10039	1854.008	10065	1840.945	10158	1807.928	10215	1783.183	10240	1772.693	10278	1766.017	10265	1745.556	10315	1728.928	10302	1712.257	10328	1709.296	10289	1693.9	10292	1672.194	10249
2246.703	8840	1993.188	9706.8	1937.575	9921.4	1907.533	10052	1884.022	10089	1870.757	10150	1837.568	10215	1812.705	10254	1802.181	10262	1795.519	10263	1774.888	10322	1758.401	10267	1741.658	10297	1738.754	10272	1723.36	10276	1701.806	10222
2280.733	8886	2024.328	9717.8	1968.022	9941.3	1937.615	10063	1914.033	10082	1900.568	10150	1867.229	10212	1842.272	10238	1831.712	10252	1825.023	10262	1804.272	10303	1787.957	10247	1771.132	10267	1768.256	10262	1752.852	10265	1731.478	10201
2314.614	8924.2	2055.42	9728.7	1998.462	9948.7	1967.72	10060	1944.027	10091	1930.361	10161	1896.922	10200	1871.88	10226	1861.273	10241	1854.61	10237	1833.706	10290	1817.55	10224	1800.651	10251	1797.873	10226	1782.434	10233	1761.293	10157
2348.392	8951.7	2086.449	9748	2028.862	9958.8	1997.81	10065	1974.01	10100	1960.122	10172	1926.61	10199	1901.533	10209	1890.871	10228	1884.251	10208	1863.166	10276	1847.165	10222	1830.201	10244	1827.564	10195	1812.136	10191	1791.167	10132
